tanggaljam,suhu,pH,kelembaban,kondisi
2023-12-23 06:08:03,15,14,75,1
2023-12-19 05:09:55,29,14,30,1
2023-12-17 18:45:06,32,8,54,3
2023-12-08 21:07:23,19,1,70,1
2023-12-07 19:31:15,22,6,32,2
2023-11-30 09:23:52,28,13,75,1
2023-11-28 14:34:56,34,0,50,1
2023-11-25 04:08:20,35,7,53,1
2023-11-23 21:18:33,34,4,75,1
2023-11-23 18:30:01,19,12,79,1
2023-11-20 05:18:34,24,2,55,2
2023-11-16 02:00:34,34,13,72,3
2023-11-12 04:28:30,29,9,56,3
2023-10-30 12:52:42,29,8,42,2
2023-10-15 15:18:55,24,2,50,2
2023-10-11 03:05:18,21,10,75,3
2023-10-07 02:39:53,18,5,43,1
2023-10-06 23:54:32,17,6,62,2
2023-10-01 01:20:42,34,0,33,3
2023-09-23 00:36:44,22,8,41,2
2023-08-16 04:36:09,34,10,67,1
2023-08-02 19:26:28,23,13,71,1
2023-07-06 05:27:58,16,13,49,3
2023-06-16 22:27:43,28,10,78,3
2023-06-07 12:52:00,29,4,35,1
2023-05-28 14:39:16,26,0,61,1
2023-05-20 09:13:19,18,3,40,3
2023-04-28 04:47:41,22,8,34,3
2023-04-27 20:09:44,20,4,39,2
2023-04-23 23:47:12,28,0,76,3
2023-04-07 11:09:06,31,7,37,3
2023-04-07 04:47:49,28,1,60,1
2023-04-05 10:59:36,32,5,34,3
2023-04-02 10:07:01,22,6,41,2
2023-03-20 04:19:51,35,1,34,3
2023-03-19 23:30:06,25,11,68,2
2023-03-14 09:34:28,30,14,74,2
2023-03-10 08:09:31,25,4,33,3
2023-03-08 15:30:02,33,5,54,1
2023-03-02 09:05:05,25,3,51,1
2023-02-25 17:07:11,33,13,38,3
2023-02-21 03:03:24,35,14,58,1
2023-02-19 12:46:40,21,14,47,2
2023-02-09 23:36:36,19,13,75,2
2023-02-09 20:09:53,21,0,71,2
2023-01-31 17:44:08,32,1,59,3
2023-01-24 08:58:41,33,9,43,1
2023-01-20 19:16:33,24,14,54,2
2023-01-14 07:40:42,31,8,49,1
2023-01-08 11:26:44,34,10,65,3
